base;num variables;Ramas Rchic;Ramas Pchic;Grupos  Rchic;Grupos Pchic;Porcentaje de ramas similares ;Porcentaje de grupos similares;;;
239;17;16;16;8;8;1.000;1.000;;;
240;27;26;26;14;6;1.000;0.429;;;
241;88;86;86;44;12;1.000;0.273;;;
242;83;81;81;41;15;1.000;0.366;;;
243;93;90;90;45;9;1.000;0.200;;;
244;64;62;62;32;10;1.000;0.313;;;
245;75;73;73;35;8;1.000;0.229;;;
246;44;42;42;22;10;1.000;0.455;;;
247;17;16;16;8;8;1.000;1.000;;;
248;90;88;88;45;5;1.000;0.111;;;
249;72;70;70;35;9;1.000;0.257;;;
250;48;46;46;24;13;1.000;0.542;;;
251;10;9;9;5;5;1.000;1.000;;;
252;8;7;7;4;4;1.000;1.000;;;
253;8;7;7;4;4;1.000;1.000;;;
254;92;90;90;45;9;1.000;0.200;;;
255;21;20;20;10;8;1.000;0.800;;;
256;82;80;80;40;5;1.000;0.125;;;
257;16;15;15;8;8;1.000;1.000;;;
258;83;82;82;40;11;1.000;0.275;;;
259;81;79;79;40;9;1.000;0.225;;;
260;46;44;44;23;10;1.000;0.435;;;
261;92;90;90;45;5;1.000;0.111;;;
262;27;26;26;13;7;1.000;0.538;;;
263;41;39;39;20;5;1.000;0.250;;;
264;31;30;30;15;8;1.000;0.533;;;
265;80;78;78;40;15;1.000;0.375;;;
266;8;7;7;4;4;1.000;1.000;;;
267;88;86;86;44;9;1.000;0.205;;;
268;77;75;75;35;12;1.000;0.343;;;
269;95;93;93;47;7;1.000;0.149;;;
270;91;90;90;45;5;1.000;0.111;;;
271;48;46;46;44;10;1.000;0.227;;;
272;38;36;36;16;7;1.000;0.438;;;
273;76;74;74;35;9;1.000;0.257;;;
274;81;80;80;40;6;1.000;0.150;;;
275;45;43;43;22;10;1.000;0.455;;;
276;79;76;76;38;8;1.000;0.211;;;
277;94;92;92;46;5;1.000;0.109;;;
278;66;64;64;33;7;1.000;0.212;;;
279;46;44;44;23;9;1.000;0.391;;;
280;46;44;44;23;7;1.000;0.304;;;
281;71;70;70;35;8;1.000;0.229;;;
282;99;98;98;47;9;1.000;0.191;;;
283;92;90;90;45;10;1.000;0.222;;;
284;41;40;40;20;15;1.000;0.750;;;
285;61;59;59;30;11;1.000;0.367;;;
286;93;90;90;45;15;1.000;0.333;;;
287;89;87;87;45;14;1.000;0.311;;;
288;86;84;84;43;11;1.000;0.256;;;
289;80;78;78;40;20;1.000;0.500;;;
290;38;37;37;18;10;1.000;0.556;;;
291;25;24;24;12;10;1.000;0.833;;;
292;89;87;87;44;5;1.000;0.114;;;
293;49;47;47;25;10;1.000;0.400;;;
294;22;21;21;11;8;1.000;0.727;;;
295;50;48;48;25;7;1.000;0.280;;;
296;35;33;33;15;6;1.000;0.400;;;
297;47;45;45;23;8;1.000;0.348;;;
298;66;64;64;33;6;1.000;0.182;;;
299;71;69;69;35;9;1.000;0.257;;;
300;4;3;3;2;2;1.000;1.000;;;
301;21;20;20;10;6;1.000;0.600;;;
302;3;2;2;1;1;1.000;1.000;;;
303;44;42;42;22;10;1.000;0.455;;;
